	smiles	carbon	THF-d₈	CD₂Cl₂	CDCl₃	toluene- d₈	C₆D₆	C₆D₅Cl	(CD₃)₂CO	(CD₃)₂SO	CD₃CN	TFE-d₃	CD₃OD	D₂O
		CH(3,4)	107.74	108.02	107.98	108.15	108.21	108.03	108.04	107.07	108.31	108.85	108.11	107.83
pyrrolidineᵉ		CH₂(2,5)	45.82	47.02	46.93	47.12	46.86	46.75		46.51	47.57	47.43	47.23	46.83
		CH₂(3,4)	26.17	25.83	25.56	25.75	25.65	25.59		25.26	26.34	25.73	26.29	25.86
silicone grease		CH₃	1.2	1.22	1.19	1.37	1.38	1.09	1.4			2.87	2.1	
tetrahydrofuran		CH₂(2,5)	68.03	68.16	67.97	67.75	67.8	67.64	68.07	67.03	68.33	69.53	68.83	68.68
		CH₂(3,4)	26.19	25.98	25.62	25.79	25.72	25.68	26.15	25.14	26.27	26.69	26.48	25.67
toluene		CH₃	21.29	21.53	21.46	21.37	21.1	21.23	21.46	20.99	21.5	21.62	21.5	
		C(1)	138.24	138.36	137.89	137.84	137.91	137.65	138.48	137.35	138.9	139.92	138.85	
		CH(2,6)	129.47	129.35	129.07	129.33	129.33	129.12	129.76	128.88	129.94	130.58	129.91	
		CH(3,5)	128.71	128.54	128.26	128.51	128.56	128.31	129.03	128.18	129.23	129.79	129.2	
		CH(4)	125.84	125.62	125.33	125.66	125.68	125.43	126.12	125.29	126.28	126.82	126.29	
triethylamine		CH₃	12.51	12.12	11.61	12.39	12.35	11.87	12.49	11.74	12.38	9.51	11.09	9.07
		CH₂	47.18	46.75	46.25	46.82	46.77	46.36	47.07	45.74	47.1	48.45	46.96	47.19
